epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.5034197301946135,0.35799828913601367,1.7854026915395962,0.31486611265004616,0.27196025076559044,0.0001
2,1.4974583611529098,0.3678357570573139,1.7891403375303043,0.3139427516158818,0.2672705187916112,0.0001
3,1.4992689409826556,0.36398631308810947,1.7684816937236225,0.32456140350877194,0.2773065132455741,0.0001
4,1.499495187580076,0.3678357570573139,1.8245130917605232,0.2770083102493075,0.20430830670050767,0.0001
5,1.4949009699699207,0.37200598802395207,1.7677835690624573,0.29362880886426596,0.23641673540444372,0.0001
6,1.4918117529306656,0.37660393498716854,1.7482376374742563,0.3157894736842105,0.27314277947481685,4.9454782638308454e-05
7,1.4805480912200406,0.38259195893926434,1.8191356580047047,0.33425669436749766,0.2821022185724413,4.784295916818289e-05
8,1.4606119674495144,0.4021599657827203,1.7627600957365597,0.3407202216066482,0.2945161046827681,4.523497400965494e-05
9,1.4375055331450242,0.4202309666381523,1.8029432480826098,0.35318559556786705,0.29762695081287555,4.174480862865352e-05
10,1.4259969495300553,0.42322497861420016,1.7448770421392776,0.3587257617728532,0.311319288347653,3.7525000000000004e-05
11,1.406539283043299,0.44428999144568004,1.760969018234926,0.3656509695290859,0.31599397594046996,3.275997400965494e-05
12,1.3995364809647584,0.4435414884516681,1.7177086849423016,0.37303785780240073,0.3400887104218094,2.7657985158527953e-05
13,1.38464896475148,0.45209580838323354,1.7769056339474285,0.358264081255771,0.310510745811193,2.244201484147205e-05
14,1.3754240354921063,0.4616124893071001,1.7567246792947544,0.3734995383194829,0.3251537163449042,1.7340025990345062e-05
15,1.3704171152196378,0.459901625320787,1.7521124587339514,0.3734995383194829,0.33428513471071625,1.2575000000000006e-05
16,1.358221838209364,0.473267750213858,1.8027176252182793,0.37072945521698986,0.318925468942882,8.355191371346496e-06
17,1.3643331282159201,0.47144995722840033,1.778742319520782,0.37488457987072943,0.3302709926316504,4.865025990345064e-06
18,1.3587081654458983,0.4658896492728828,1.7755972734268974,0.3656509695290859,0.3225254838188167,2.2570408318171053e-06
19,1.351283064764789,0.4796834901625321,1.7674540105987997,0.3734995383194829,0.33182606932472397,6.45217361691548e-07
20,1.3539537739549947,0.4803250641573995,1.7585479104343582,0.376269621421976,0.3358012021046386,5e-05
21,1.3673778243553945,0.45926005132591957,1.7116254094768972,0.38873499538319484,0.35693822403296066,4.9454782638308454e-05
22,1.3638625461831053,0.47070145423438836,1.6941365976543987,0.39242843951985223,0.3603675407757648,4.784295916818289e-05
23,1.3566723767508808,0.4729469632164243,1.6554244230775272,0.407202216066482,0.3869844835677249,4.523497400965494e-05
24,1.3511451261675256,0.47444396920444826,1.6487904918544434,0.4099722991689751,0.3904235657946579,4.174480862865352e-05
25,1.3409811849268074,0.4810735671514115,1.718427974073326,0.39012003693444136,0.3561762301256111,3.7525000000000004e-05
26,1.3303013917727349,0.48727544910179643,1.714994290295769,0.39335180055401664,0.3644441750156842,3.275997400965494e-05
27,1.3244511221209143,0.49016253207869975,1.7210153450860697,0.3827331486611265,0.34636897235318576,2.7657985158527953e-05
28,1.308410137331384,0.5065226689478186,1.6689200375009985,0.4048938134810711,0.3850403557298369,2.244201484147205e-05
29,1.3032331108028052,0.5058810949529512,1.7176424251759754,0.39704524469067404,0.3671427953308994,1.7340025990345062e-05
30,1.296799863403679,0.5074850299401198,1.7170317690162098,0.3984302862419206,0.3711382088568204,1.2575000000000006e-05
31,1.288724655065781,0.511655260906758,1.7379312686183874,0.39335180055401664,0.36114778896809135,8.355191371346496e-06
32,1.283527093463474,0.5214927288280582,1.7071274492670507,0.40166204986149584,0.37808064638933553,4.865025990345064e-06
33,1.27097559729193,0.5302609067579127,1.722940495785545,0.402123730378578,0.37796023206621865,2.2570408318171053e-06
34,1.272259289280981,0.5243798118049615,1.7422663367846434,0.39335180055401664,0.36448934646694486,6.45217361691548e-07
35,1.2701959127034896,0.526732249786142,1.7342556899084764,0.3975069252077562,0.3696403805689749,5e-05
36,1.296994232927632,0.50866124893071,1.7106426353840267,0.3975069252077562,0.37664277624877746,4.9454782638308454e-05
