train_loss,val_loss,train_acc,val_acc
2.329046966767806,2.2243185715632396,0.21295746785361028,0.2713963963963964
2.184905987040579,2.216460980166186,0.271513353115727,0.2747747747747748
2.130123652643077,2.107859230471087,0.29080118694362017,0.3099099099099099
2.0959099173427926,2.1263818790246773,0.3056379821958457,0.29864864864864865
2.0681996285148947,2.145485362491092,0.31271018793273986,0.3027027027027027
2.0453275554140053,2.0748811000102276,0.31632047477744807,0.3261261261261261
2.024654570201266,2.0637179110501265,0.32942631058358063,0.3279279279279279
2.003022275409642,2.066858339094901,0.33481701285855586,0.3324324324324324
1.975748690087293,2.0922290690310366,0.34396636993076163,0.31666666666666665
1.9617509180195372,2.10262276804125,0.35173095944609295,0.3238738738738739
1.8584847817435108,2.039585108155603,0.3815034619188922,0.34256756756756757
